,tract,entropy_index_9,entropy_index_0,entropy_index_1,inc_9,rent_9,inc_0,rent_0,inc_1,rent_1,ratio_rent_inc_9,ratio_rent_inc_0,ratio_rent_inc_1
0,36005000200,0.8671485034902253,0.8579713801212125,0.921479269037815,38711,742,50817,730,58368,1273,0.23001214125184055,0.1723832575712852,0.26171875
1,36005000400,0.9198194163529771,0.9232992955766085,0.9432084356950333,40484,535,41019,643,73148,1330,0.15858116786878768,0.1881079499744021,0.2181877836714606
2,36005001600,0.9080631755111424,0.9258753308455544,0.8627419352601068,24732,466,30104,558,33555,823,0.22610383309073265,0.22242891310124902,0.29432275368797495
3,36005001900,0.652853327264585,0.8301582997147791,0.6724147391373728,24823,422,23671,461,25489,870,0.20400435080369012,0.2337036880571163,0.40958844991957316
4,36005002000,0.8147742309025565,0.7797217223623213,0.8040944252107021,18762,298,19694,266,30817,455,0.19059801726894787,0.16207982126536,0.17717493591199662
5,36005002300,0.7213697714377028,0.7438981315335853,0.6939366254925831,15189,186,20217,229,20342,359,0.14694844953584832,0.1359252114557056,0.21177858617638384
6,36005002500,0.5837729221506854,0.6632702384470605,0.5849948223665444,9807,276,15662,340,17048,570,0.33771795656163967,0.2605031285914953,0.4012200844673862
7,36005002701,0.6502173350398891,0.6857051075162497,0.605088925678968,10109,192,13077,264,25269,539,0.22791571866653476,0.24225739848589126,0.2559658079069215
8,36005002702,0.4024485573125076,0.5662473023471698,0.5086866989751195,6540,284,12042,332,21140,592,0.5211009174311927,0.330842052815147,0.33604541154210027
9,36005002800,0.9490629461689983,0.9688831578845903,0.9756497684320536,36060,423,38448,586,55922,849,0.14076539101497504,0.182896379525593,0.18218232538178178
10,36005003100,0.7158059022418829,0.7816333639410946,0.8867576399227993,16750,339,28365,616,38398,892,0.24286567164179104,0.2606028556319408,0.2787645189853638
11,36005003300,0.4678799399552151,0.5904671064096622,0.6163999589285826,8723,268,11420,277,17034,453,0.3686804998280408,0.2910683012259194,0.31912645297640013
12,36005003500,0.7400634909569079,0.8087606024353767,0.7157806314585164,16042,318,20122,417,27682,658,0.23787557661139508,0.2486830334956764,0.28523950581605373
13,36005003700,0.26933166726051755,0.8927658913550539,0.3106779985360137,14038,575,24300,659,23884,1188,0.49152300897563755,0.3254320987654321,0.5968849438954948
14,36005003800,0.7840980560951695,0.7714225244612732,0.8574292440241257,43672,503,53705,711,56094,1179,0.13821212676314343,0.1588678893957732,0.25221948871537064
15,36005003900,0.7115453860141254,0.8194718199365495,0.8188653044661314,15558,316,23006,389,31556,920,0.24373312765136906,0.20290359036773015,0.3498542274052478
16,36005004001,0.9508446666240737,0.9446096346869604,0.916823191162358,32446,454,35156,636,45865,963,0.16790975775134068,0.21708954374786665,0.25195682982666523
