,census_tract,lat,lon,ZCTA5,pop9,median_fam_inc_9,median_hh_inc_9,median_house_value_9,median_rent_9,median_fam_inc_0,median_hh_inc_0,median_house_value_0,median_rent_0,median_fam_inc_1,median_hh_inc_1,median_house_value_1,median_rent_1,rent_units_9,rent_units_0,rent_units_1
0,36005000100,40.7934921,-73.8835318,11370.0,14303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36005000200,40.804573299999994,-73.8568585,10473.0,2907,38711,31632,136500,742,50817,42539,147500,730,58368,59826,392500,1273,384,421,635
2,36005000400,40.8089152,-73.8504884,10473.0,2260,40484,36506,163234,535,41019,39111,157610,643,73148,71968,393700,1330,214,486,615
3,36005001600,40.81884779999999,-73.8580764,10473.0,5254,24732,22739,156800,466,30104,24552,177000,558,33555,30355,378100,823,1462,1517,1617
4,36005001900,40.800999,-73.90937290000001,10454.0,1575,24823,11215,48868,422,23671,22772,145960,461,25489,25093,0,870,357,336,505
5,36005002000,40.8175801,-73.8660962,10473.0,9110,18762,14765,185400,298,19694,14691,177600,266,30817,24939,398100,455,2570,2601,2618
6,36005002300,40.8090843,-73.92584609999999,10454.0,4577,15189,7925,0,186,20217,14112,0,229,20342,13756,0,359,1758,1646,1763
7,36005002400,40.8157533,-73.8711124,10473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,36005002500,40.8070029,-73.9208781,10454.0,5572,9807,8246,87500,276,15662,12221,99100,340,17048,15207,381300,570,1674,1675,1780
9,36005002701,40.805051399999996,-73.9163293,10454.0,3004,10109,8128,0,192,13077,12898,0,264,25269,19450,0,539,904,986,1039
10,36005002702,40.8064374,-73.913737,10454.0,3930,6540,7140,0,284,12042,12654,162500,332,21140,19300,350000,592,1144,1229,1215
11,36005002800,40.8225183,-73.87823359999999,10473.0,5964,36060,33557,151600,423,38448,34234,155300,586,55922,44036,262000,849,2233,2210,2088
12,36005003100,40.8098763,-73.9056946,10455.0,674,16750,15375,0,339,28365,27330,0,616,38398,33603,115600,892,219,493,431
13,36005003300,40.8082226,-73.91192459999999,10454.0,3357,8723,7955,0,268,11420,11322,163800,277,17034,16021,335700,453,915,847,977
14,36005003500,40.810965100000004,-73.9086696,10455.0,2879,16042,14408,0,318,20122,18736,158700,417,27682,20403,0,658,1027,1066,1227
15,36005003700,40.8114424,-73.912187,10455.0,87,14038,14405,0,575,24300,23750,0,659,23884,23304,0,1188,25,154,110
16,36005003800,40.8202946,-73.8633435,10473.0,1068,43672,29187,143800,503,53705,47647,177700,711,56094,55625,472100,1179,254,271,287
17,36005003900,40.8097217,-73.9214264,10454.0,5202,15558,10918,100000,316,23006,15893,126100,389,31556,31566,467300,920,1699,1961,1827
18,36005004001,40.8282719,-73.8583355,10472.0,1380,32446,27788,193800,454,35156,29545,184900,636,45865,44432,361400,963,333,341,300
19,36005004100,40.8113856,-73.9194099,10454.0,6132,10933,8265,0,223,15000,12970,102500,269,20649,18272,237000,504,1791,1725,1863
20,36005004200,40.823930700000005,-73.8620059,10473.0,7759,25019,24538,111640,393,31572,29004,105836,493,42180,35816,211000,640,2370,2446,2401
21,36005004300,40.8136213,-73.91703759999999,10455.0,4643,12794,11318,32500,295,21956,19434,162900,367,23156,24594,423700,653,1350,1273,1408
22,36005004400,40.8265305,-73.8663677,10472.0,4964,16068,12832,195300,233,14346,13185,186700,239,22331,16086,641800,350,1493,1529,1592
23,36005004600,40.8224207,-73.8691745,10473.0,1251,30417,21906,0,323,22500,17976,0,361,41607,22146,87300,731,484,504,481
24,36005004800,40.82700429999999,-73.87432390000001,10472.0,4166,17188,15917,137500,410,15817,19023,172100,590,21908,25168,230600,924,1210,1061,1221
25,36005005001,40.824996999999996,-73.8778533,10472.0,4723,19052,17250,131800,443,20938,20385,178500,617,40345,28933,380400,1013,1369,1429,1325
26,36005005002,40.8273629,-73.878435,10472.0,5496,19052,17250,131800,443,20938,20385,178500,617,26269,26439,0,878,1595,1663,1692
27,36005005100,40.813308,-73.92738220000001,10451.0,6303,10987,9279,0,203,13469,12336,6094,226,22118,16283,0,463,1949,1830,1936
28,36005005200,40.825641600000004,-73.8824356,10472.0,2012,16831,13750,165000,347,20484,13826,196600,307,35673,33750,214600,781,713,690,713
29,36005005300,40.851772,-73.9221829,10453.0,1365,25833,21822,0,507,18567,15527,0,573,22576,14821,0,813,475,420,1639
30,36005005400,40.8298875,-73.8797806,10472.0,5616,21168,20308,175300,485,24335,21282,142500,636,35385,33672,446400,985,1345,1464,1481
31,36005005600,40.832611799999995,-73.8790757,10472.0,2404,24211,19016,112500,446,26544,12604,164300,634,42093,30402,460700,863,761,890,822
32,36005005902,40.824086,-73.9234467,10451.0,2727,31046,29583,0,494,30720,33256,0,708,41190,36098,157300,956,853,877,828
33,36005006000,40.8377032,-73.8780437,10460.0,1021,19202,23978,24564,406,27381,30207,187227,588,28309,27574,487500,940,334,339,330
34,36005006100,40.8222516,-73.92266690000001,10451.0,3449,38924,27890,0,410,34611,30469,187500,514,52792,37936,25100,743,1273,1138,925
35,36005006200,40.8332811,-73.8754495,10472.0,6855,15401,13778,126400,345,22217,16314,225000,410,21590,20952,505700,705,2283,2195,2254
36,36005006300,40.8242061,-73.9287302,10451.0,5852,21934,18020,10418,496,27761,23758,12785,651,31275,28735,242600,960,1781,1775,1683
37,36005006400,40.832964600000004,-73.87217009999999,10472.0,3510,33750,28111,215500,585,35500,35279,206800,741,44386,42596,449500,1159,802,929,1001
38,36005006500,40.8173917,-73.9216557,10451.0,4208,12263,11672,0,419,19961,17457,0,512,22344,21119,34400,835,1472,1645,1785
39,36005006700,40.819502299999996,-73.9181767,10455.0,6044,12679,10200,89100,255,22256,17353,218200,354,19564,16745,460400,527,1887,2031,2207
40,36005006800,40.82896029999999,-73.8705138,10472.0,2568,23214,23207,162500,541,33191,25966,125000,768,44922,35078,486100,1109,677,897,827
41,36005006900,40.8218666,-73.9157567,10451.0,4338,9820,10016,87500,234,10868,10576,202500,295,28496,21316,462200,639,1239,1322,2403
42,36005007000,40.8298152,-73.8656233,10472.0,3436,33793,30852,151100,526,35081,32146,173200,708,48869,46313,471800,1108,780,904,1154
43,36005007100,40.818220600000004,-73.912832,10455.0,863,9875,8565,0,285,37891,36316,115100,379,30781,27303,222900,512,234,299,337
44,36005007200,40.831045200000005,-73.8606985,10472.0,4891,29907,26408,162558,482,33777,31398,183880,681,44324,39638,415000,1038,1484,1501,1327
45,36005007300,40.8146752,-73.909389,10455.0,3229,11250,10014,0,402,20087,21545,0,494,32522,26364,428000,728,1013,1081,1245
46,36005007400,40.8194734,-73.8528608,10473.0,3381,38714,31930,211600,491,42288,40654,210000,658,51944,43725,349200,853,994,863,935
47,36005007500,40.8187783,-73.9086255,10456.0,3018,17197,15123,55000,370,23321,20813,109700,450,27897,24291,254000,611,942,1217,1243
48,36005007600,40.8333737,-73.8676538,10472.0,4284,27132,24390,237745,494,35218,33121,210774,684,40089,40919,453100,1085,1181,1289,1433
49,36005007700,40.819733899999996,-73.90442309999999,10456.0,1221,10729,8567,17500,333,20521,21958,100800,592,44025,38472,441000,1024,293,326,423
50,36005007800,40.8291526,-73.85280379999999,10472.0,5557,31641,29419,175270,522,39387,34509,199581,717,42299,38150,454900,1013,1463,1630,1616
51,36005007900,40.815792,-73.9048714,10455.0,5978,11261,8830,87500,301,17988,14767,0,385,32022,16161,0,494,1971,2185,2180
52,36005008300,40.8136778,-73.90184,10455.0,5202,9265,8736,47500,315,26799,25886,212800,504,26642,25172,310300,804,1642,1811,1781
53,36005008400,40.8156088,-73.8477354,10473.0,1788,47583,42891,162500,732,39821,39911,188400,893,77404,69722,440900,1215,165,235,337
54,36005008500,40.816276200000004,-73.89908309999998,10455.0,5083,14281,12393,112500,341,18036,18403,0,401,30568,25783,408500,904,1260,1334,1520
55,36005008600,40.8198789,-73.849806,10473.0,4442,19190,11526,193800,219,17891,14409,189700,300,37292,24250,379800,490,1288,1312,1324
56,36005008700,40.819672,-73.8972847,10459.0,4854,13539,14537,134681,356,22322,19614,150570,515,32551,24808,302200,791,1297,1314,1564
57,36005008900,40.8185638,-73.893918,10459.0,2630,15069,9967,137500,329,23049,13007,166700,429,26168,18387,339500,759,843,914,1059
58,36005009000,40.813618299999995,-73.8446107,10473.0,3649,17226,13656,149003,213,19981,16198,186140,280,25370,24129,372500,368,1017,978,962
59,36005009200,40.8323343,-73.8521043,10462.0,4036,31651,27234,167014,507,40661,36638,180217,702,47593,45625,437900,1166,1243,1329,1436
60,36005009300,40.80568220000001,-73.8856083,10474.0,4331,13769,13700,78068,347,19864,18371,109906,534,30257,31000,433600,879,1074,1488,1547
61,36005009600,40.8347812,-73.8437163,10462.0,1553,36800,36580,193319,620,49020,39040,202943,830,43664,41597,523100,1222,279,334,447
62,36005009800,40.8254412,-73.84951509999999,10473.0,5120,38216,33237,169891,470,45670,38650,193789,675,51563,52725,408500,1070,1021,1122,1069
63,36005011000,40.8137194,-73.8321026,10465.0,550,41130,20551,78304,326,39567,20992,195078,416,0,41641,0,866,251,162,33
64,36005011502,40.82008629999999,-73.88654890000001,10474.0,3171,9329,8741,178128,338,16091,14151,0,496,21461,20536,372200,875,843,1131,1273
65,36005011700,40.807363099999996,-73.8748094,10474.0,1328,18870,11708,0,385,18102,16661,0,599,8542,11250,0,924,404,535,521
66,36005011800,40.8082956,-73.7984474,10465.0,4280,53085,43274,168832,575,64258,57624,178414,791,89087,74607,437300,1206,318,489,429
67,36005011900,40.823290500000006,-73.88959840000001,10459.0,4561,11107,10024,137500,356,20000,16990,194600,413,21773,20253,377800,899,1462,1494,1774
68,36005012101,40.8282767,-73.88887840000001,10459.0,1688,9678,14420,24400,441,19939,21424,160600,561,38029,38750,464400,952,507,657,740
69,36005012102,40.8260142,-73.8879213,10459.0,1292,13550,14850,0,325,17765,17688,0,384,12294,11396,350000,752,438,502,489
70,36005012300,40.8301903,-73.8862025,10459.0,2162,12389,9266,54984,297,21923,17903,109967,364,19857,13981,370800,566,637,941,1292
71,36005012500,40.82864620000001,-73.89351640000001,10459.0,1509,21818,21705,97500,411,37708,27566,144700,542,33590,32550,426400,962,401,410,1000
72,36005012701,40.8256393,-73.8923237,10459.0,1916,6331,6236,275000,274,12192,12342,168200,347,23981,15938,340500,432,567,623,663
73,36005012901,40.8226294,-73.89873399999999,10459.0,1873,7862,7244,42500,292,14364,13214,95600,357,22857,18142,291200,764,723,880,1348
74,36005013000,40.8193055,-73.8147485,10465.0,867,46302,41750,191100,536,51346,48500,201700,757,90764,85929,495700,1176,114,174,197
75,36005013100,40.825953999999996,-73.8978818,10459.0,2779,11842,10000,70700,308,14762,13281,211500,473,25194,23596,434500,792,833,952,1475
76,36005013200,40.81378,-73.8187728,10465.0,4269,52169,42154,186900,621,68064,54509,195100,814,86547,78125,454100,1194,494,759,905
77,36005013300,40.8228226,-73.903485,10456.0,6131,16021,11583,0,254,17933,16426,92200,317,24282,18514,219300,422,1915,1893,2035
78,36005013500,40.8271333,-73.9020964,10456.0,2852,18103,11017,117100,216,16588,14667,113900,396,25156,16782,293600,568,789,909,1108
79,36005013800,40.816146,-73.79807029999999,10465.0,3037,52400,47532,100400,579,56953,48813,150500,782,76875,58291,304600,1246,209,269,418
80,36005014100,40.8237658,-73.9122955,10451.0,2562,7111,6972,1893,346,12806,13845,178037,518,28319,18900,0,727,741,650,1070
81,36005014300,40.8277474,-73.91212979999999,10456.0,705,10000,9234,37500,273,9893,8606,0,457,16250,8694,0,231,191,242,367
82,36005014400,40.821237200000006,-73.82336690000001,10465.0,5780,17874,16631,188178,309,27203,23302,186596,364,31591,25844,462200,432,1696,1706,1948
83,36005014500,40.831511,-73.9070316,10456.0,5106,14167,11521,225000,329,17205,14264,0,369,22571,20368,541700,700,1694,1732,1918
84,36005014701,40.8342262,-73.9053292,10456.0,6246,9608,8448,0,220,12951,10775,0,273,23470,16892,0,430,1842,1877,2001
85,36005014702,40.836535,-73.9043915,10456.0,5230,9608,8448,0,220,12951,10775,0,273,16530,15625,0,346,1543,1572,1618
86,36005014900,40.8326134,-73.90147809999999,10456.0,2707,12437,9433,129800,302,19647,14353,245800,490,30285,23767,450000,775,967,1189,1315
87,36005015100,40.831089299999995,-73.89847569999999,10456.0,2549,16779,16667,94600,358,20064,18448,183800,586,30266,25639,395500,967,734,1364,1496
88,36005015200,40.8262959,-73.8249969,10465.0,1936,47155,35364,186206,549,60417,53828,192262,858,60139,45161,430900,1190,250,416,482
89,36005015300,40.8334461,-73.89413640000001,10459.0,2377,21366,21250,96000,354,20511,20918,177100,451,31635,19095,326200,894,616,841,1140
90,36005015500,40.835595899999994,-73.8899678,10460.0,1926,13674,11111,152100,243,25365,17616,208300,368,33750,22250,0,787,593,856,948
91,36005015700,40.8329807,-73.8854505,10460.0,2254,9714,9661,112473,349,25386,20682,221846,576,29239,24336,363600,920,637,894,985
92,36005015800,40.8248596,-73.818621,10465.0,1047,49135,28277,167100,669,43015,33438,214900,867,55167,44167,494100,1050,340,331,251
93,36005015900,40.8223699,-73.89355690000001,10459.0,2227,11624,10342,0,329,21933,16058,0,310,31150,32400,148600,843,624,628,652
94,36005016000,40.828574200000006,-73.81357679999999,10465.0,3436,51320,41646,191900,636,52719,45828,178500,791,89066,73325,443000,1722,453,611,677
95,36005016100,40.836881,-73.8850118,10460.0,4331,11604,9098,0,303,22011,16308,225000,445,21393,17011,500000,676,1537,1670,1651
96,36005016200,40.828850200000005,-73.8217593,10465.0,1463,54752,51076,191900,715,53684,50833,196900,876,85625,66204,473900,1106,201,209,283
97,36005016300,40.8385749,-73.89500749999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,36005016400,40.8321977,-73.8248492,10465.0,1065,61208,46477,188800,629,51250,50733,195900,774,91389,77083,448900,1318,171,217,217
99,36005016500,40.8430508,-73.9002115,10457.0,623,8483,8600,0,407,13082,11789,7245,564,16607,16480,0,1225,201,442,356
100,36005016600,40.829407399999994,-73.830366,10465.0,1663,52148,45433,192400,604,51657,41776,210900,811,87031,85234,432400,1043,176,229,294
101,36005016700,40.840486999999996,-73.9022078,10457.0,954,7955,7740,67500,374,13295,14432,75000,644,37841,39079,0,943,298,502,613
102,36005016900,40.8377899,-73.9027246,10457.0,913,7572,7932,0,258,20653,16591,225000,608,26389,23355,355800,676,140,394,393
103,36005017100,40.8403719,-73.9075096,,1945,45261,0,0,0,0,0,0,0,0,0,0,0,539,0,0
104,36005017300,40.826296,-73.9165227,10451.0,5539,15186,11214,63600,342,24516,18375,143800,555,23307,15417,352600,552,1637,1564,1928
105,36005017500,40.8308225,-73.9136512,10456.0,6263,16144,11711,0,328,18301,14172,0,378,17328,14446,0,701,2174,2342,2423
106,36005017701,40.8331958,-73.91117740000001,10456.0,2390,14611,11943,128600,403,18170,14931,162000,558,17127,19182,517900,993,681,1015,1169
107,36005017702,40.8361778,-73.9095493,10456.0,3156,14611,11943,128600,403,18170,14931,162000,558,22405,21384,384800,890,901,1342,1428
108,36005017901,40.834835,-73.9151866,10456.0,3319,15115,15406,0,410,16630,17685,350000,596,30455,23045,586400,1002,1013,1209,1445
109,36005017902,40.8370141,-73.91349890000001,10456.0,3356,15115,15406,0,410,16630,17685,350000,596,31288,19233,0,915,1024,1223,1099
110,36005018101,40.831607399999996,-73.9161112,10456.0,3264,23020,20183,137500,453,23779,22514,156300,631,34092,34623,454800,965,955,1122,955
111,36005018102,40.8322651,-73.9181383,10456.0,4074,23020,20183,137500,453,23779,22514,156300,631,38158,35424,559500,899,1192,1401,1603
112,36005018301,40.8286371,-73.92081329999999,10451.0,2712,23361,20403,36300,466,31635,24802,225000,665,33661,28630,166700,928,963,1084,1601
113,36005018302,40.827911900000004,-73.91875209999999,10456.0,4487,23361,20403,36300,466,31635,24802,225000,665,38685,32467,148900,991,1594,1794,1175
114,36005018400,40.8374214,-73.82930079999998,10461.0,3489,42848,33177,181300,556,51507,44167,192900,768,65643,58750,463700,1169,538,720,796
115,36005018500,40.8267063,-73.90746779999999,10456.0,3950,8926,9523,39110,349,24781,22339,220091,512,27704,22473,411500,805,1159,1473,2397
116,36005018900,40.8317422,-73.9301593,10452.0,5266,15595,15367,112500,420,24382,25163,49200,580,35893,27294,232500,941,1797,2182,2407
117,36005019300,40.8363125,-73.929322,10452.0,4775,11454,10298,6442,333,16077,14271,2817,441,17816,17287,226100,669,1724,1883,1940
118,36005019400,40.8331364,-73.8363127,10465.0,1496,34736,28983,160461,620,57969,51518,185983,858,42903,40455,447800,1324,302,330,444
119,36005019500,40.8304775,-73.9225235,10452.0,6509,21325,19252,0,462,22049,20402,0,652,40220,34821,237500,937,1968,2277,2513
120,36005019700,40.835204600000004,-73.9199777,10452.0,5957,11494,12987,137500,454,22273,22904,1000001,659,25198,24543,204400,937,1696,2159,2140
121,36005019900,40.8367451,-73.925441,10452.0,5793,13164,13571,27500,410,23680,22231,262500,597,30599,30880,470700,884,1913,2453,2518
122,36005020000,40.8429687,-73.8455113,10461.0,3454,29537,24989,148762,447,32725,28263,193064,618,35467,32145,464500,939,1160,1181,1390
123,36005020100,40.8420908,-73.9270027,10452.0,2417,12847,8162,37500,409,23438,21398,0,608,27813,31538,9999,946,710,999,1244
124,36005020200,40.8384912,-73.8475792,10461.0,1645,36677,30581,156600,460,36853,35000,183300,646,41406,38333,509500,1074,552,503,607
125,36005020400,40.840856,-73.850871,10461.0,2542,31597,28588,165700,521,41500,34024,198700,764,42348,39375,511800,1082,726,795,820
126,36005020501,40.8473921,-73.9237042,10453.0,5258,17039,14894,163780,413,23431,21740,147054,507,30496,23615,480600,571,1811,1849,2461
127,36005020502,40.8513528,-73.9194602,10453.0,3772,17234,15162,168800,413,23431,21754,152900,503,26818,35709,415700,792,1308,1320,561
128,36005020601,40.83662329999999,-73.8505251,10462.0,2073,41875,29139,172500,464,40658,29831,194500,576,55568,43479,464700,1132,613,530,878
129,36005020900,40.843067700000006,-73.9150369,10452.0,4067,16789,16338,0,424,20873,19789,0,565,32744,27440,0,869,1306,1591,1606
130,36005021001,40.8408055,-73.85827940000001,10462.0,6473,34241,29231,0,443,35507,32813,75000,696,50697,47444,131700,1018,2005,2616,2826
131,36005021002,40.8384723,-73.8565194,10462.0,5812,34241,29231,0,443,35507,32813,75000,696,55198,47280,121800,1008,1801,2349,2474
132,36005021100,40.8404508,-73.9234996,10452.0,3402,10640,7813,80328,348,18314,19134,131055,603,32436,25875,0,851,1107,1339,1738
133,36005021200,40.836122499999995,-73.8589736,10462.0,5529,36745,31532,184400,436,37765,34444,0,678,52891,50578,124100,1067,1895,1703,1770
134,36005021301,40.845508200000005,-73.91977929999999,10452.0,1089,8159,8255,0,293,14816,15603,206800,448,22063,21500,625000,838,256,471,363
135,36005021302,40.84297670000001,-73.92036429999999,10452.0,2510,7369,6647,22500,440,24444,24899,225000,611,30262,26302,474600,918,800,1218,1795
136,36005021501,40.8494359,-73.9182368,10453.0,4106,7300,7694,0,319,19886,18207,0,490,30735,27386,427400,863,1094,1056,992
137,36005021502,40.8480615,-73.91668620000002,10453.0,4725,7260,8152,0,387,16445,16768,0,576,26135,24181,159800,880,1425,1936,1854
138,36005021601,40.83753529999999,-73.86482,10460.0,3931,23580,21082,128100,484,33214,33955,214300,685,29821,26016,141200,1038,1300,1295,1266
139,36005021602,40.8371834,-73.8622691,10462.0,4583,35969,26112,134700,426,35784,34866,243800,685,50044,46672,122800,1025,1573,1715,2029
140,36005021700,40.8481946,-73.9132696,10453.0,4267,11845,9445,87500,399,18281,15066,0,564,17281,17722,267300,906,1233,1385,1647
141,36005021800,40.8373904,-73.869755,10460.0,6619,26096,24414,225600,473,28508,26264,187500,661,35364,33131,433300,980,1926,1886,1852
142,36005021900,40.839647,-73.9196115,10452.0,1157,10619,13020,0,430,22798,18750,0,601,40625,35268,0,980,373,406,412
143,36005022000,40.8434685,-73.8723309,10460.0,1102,17419,25952,87500,446,16932,11190,0,592,14600,12359,489100,1021,274,473,398
144,36005022101,40.8382736,-73.9181358,10452.0,3333,15881,15746,0,437,20396,20603,137500,606,27880,28008,0,938,1036,1144,1137
145,36005022102,40.8376823,-73.9160774,10452.0,3866,15881,15746,0,437,20396,20603,137500,606,21368,22092,225000,912,1203,1328,1595
146,36005022200,40.8356844,-73.8552135,10462.0,2559,34922,27494,125412,516,33931,33117,189200,748,29836,33516,373900,1052,814,929,925
147,36005022300,40.840542799999994,-73.91509090000001,10452.0,4274,16451,15601,0,424,20698,19677,0,558,29210,25597,0,848,1354,1719,1732
148,36005022401,40.855017100000005,-73.868507,10462.0,2287,36056,29167,0,461,32335,30278,0,733,35270,37287,139300,1030,1082,984,941
149,36005022403,40.8564763,-73.8654304,10462.0,3508,31322,21831,0,479,33958,30982,0,733,44787,39519,105400,1077,1494,1516,1147
150,36005022404,40.8527445,-73.86630090000001,10462.0,2606,31322,21831,0,479,33958,30982,0,733,50357,46988,110300,1078,1110,1126,1407
151,36005022500,40.8401234,-73.91097109999998,10457.0,6866,17214,17463,0,486,20755,20393,225000,669,31921,35000,466700,981,2090,1878,2089
152,36005022701,40.8468094,-73.9110498,10453.0,3950,14632,16832,0,453,17977,19239,184880,601,35043,32436,441300,934,1223,868,1621
153,36005022702,40.844474100000006,-73.9132423,10452.0,1567,16873,16074,10444,453,19656,19862,13218,669,53201,53173,0,912,466,634,601
154,36005022703,40.8440198,-73.9104999,10457.0,1805,22637,19925,11658,508,25498,28702,110417,652,37734,39141,0,1016,738,566,555
155,36005022800,40.8534896,-73.8635363,10462.0,5120,34933,24689,185180,490,38906,32866,162524,708,46418,43977,462700,1066,2237,2188,2162
156,36005022901,40.846107200000006,-73.9071728,10457.0,5056,16148,16050,118100,436,23925,25402,91400,648,30167,27908,0,926,1527,1662,1668
157,36005022902,40.843786200000004,-73.9072135,10457.0,2932,12902,15914,77139,432,21558,21972,166826,626,19306,21985,0,965,914,999,975
158,36005023000,40.84928729999999,-73.86601540000001,10462.0,2379,30030,27672,173200,492,30724,26042,176800,723,52622,39402,471400,1024,731,801,814
159,36005023100,40.8461445,-73.9024996,10457.0,1353,15855,19097,0,461,15294,15700,132400,693,26950,27228,0,787,296,400,399
160,36005023200,40.8469746,-73.86331640000002,10462.0,2051,33144,30746,166800,525,33382,30598,182100,738,62361,51373,419900,1141,507,553,645
161,36005023301,40.849553799999995,-73.908715,10453.0,4122,16357,16451,67500,456,23222,24094,0,624,30948,30049,0,943,1365,1639,1451
162,36005023302,40.8482057,-73.9046739,10457.0,3247,17679,18464,0,494,28259,31466,179700,669,18988,19696,350000,1032,908,1082,942
163,36005023501,40.8521923,-73.90453609999999,10453.0,3612,14651,14303,0,502,26222,27591,0,678,29740,25463,0,936,1059,1372,1010
164,36005023502,40.8513349,-73.9034407,10457.0,4141,18582,15742,55000,444,23136,19504,137500,597,28469,22445,255000,918,1384,1703,1495
165,36005023600,40.8450904,-73.86725940000001,10462.0,1472,25786,25788,174200,526,29191,29669,0,631,52625,38913,454500,1005,425,498,543
166,36005023702,40.8606549,-73.8973142,10458.0,1279,12604,11795,0,396,13250,16111,0,644,20357,19490,1000001,783,360,343,326
167,36005023703,40.86004260000001,-73.8995705,10468.0,5019,15635,15476,225000,469,21190,21369,162500,653,22235,26439,41200,1007,1548,1537,1428
168,36005023704,40.8562676,-73.9019054,10453.0,3367,15635,15476,225000,469,21190,21369,162500,653,30647,22610,0,951,1039,1031,1158
169,36005023800,40.8437093,-73.8610752,10462.0,1653,36731,31780,158804,523,32741,31370,178097,722,47870,48368,458600,1262,434,513,621
170,36005023900,40.858889899999994,-73.9028771,10453.0,7309,10979,10077,0,440,16296,17548,212500,600,18085,19246,0,961,2279,2432,2456
171,36005024000,40.841618200000006,-73.86886170000001,10460.0,3076,33382,31948,143300,566,34271,29770,186300,730,39531,39219,433200,1053,720,767,969
172,36005024100,40.8531499,-73.90618509999999,10453.0,4757,9451,9469,14999,425,21414,19692,112500,607,25262,25694,375000,907,1384,1709,1810
173,36005024300,40.8524326,-73.91153259999999,10453.0,4870,10903,11849,122500,344,21778,21029,143400,518,25899,25983,359600,888,1372,1561,1803
174,36005024400,40.8462492,-73.8575203,10462.0,1789,43519,38940,190700,573,48750,45000,205000,695,87629,69545,440100,1033,385,495,534
175,36005024501,40.8528844,-73.9155029,10453.0,4026,16724,16078,161700,459,21376,22261,143800,609,25820,26168,522300,887,1066,1214,1417
176,36005024502,40.8551013,-73.9135611,10453.0,3639,16724,16078,161700,459,21376,22261,143800,609,35271,35256,580700,952,964,1099,1031
177,36005024600,40.8516098,-73.8611557,10462.0,1819,35580,28889,197300,547,62961,51350,213800,741,70260,68600,483500,1264,435,438,465
178,36005024700,40.855311799999996,-73.91878670000001,10453.0,3406,26140,24292,63015,509,30720,27956,104704,664,45994,50600,0,999,1187,1209,623
179,36005024800,40.8553409,-73.85840970000001,10461.0,2857,41217,31894,212300,500,59444,49063,228100,762,76563,60088,500700,1136,790,896,892
180,36005024900,40.8574375,-73.91314129999999,10453.0,147,41250,51686,137500,375,22321,63125,275000,0,0,0,0,0,5,15,0
181,36005025000,40.851706400000005,-73.85570059999999,10461.0,2251,40508,28807,200000,531,51477,38854,194100,762,62969,51324,474300,1084,539,643,589
182,36005025100,40.85652460000001,-73.9077291,10453.0,5726,13504,14608,68600,424,28048,23841,199600,637,32671,29254,444100,990,1598,1750,1838
183,36005025200,40.847132,-73.8549662,10462.0,2280,46708,34951,178800,550,60515,46563,196300,789,54195,53088,480300,1071,486,486,565
184,36005025300,40.8610106,-73.9045321,10468.0,6414,15806,15800,165300,449,20284,20956,134100,636,21461,22324,439200,909,1857,1856,1807
185,36005025400,40.8484985,-73.85247729999999,10461.0,1919,41653,27844,192900,543,61250,45476,186500,768,63024,54764,476700,1017,470,445,488
186,36005025500,40.8605391,-73.9089561,10468.0,6618,17625,16855,150800,452,25328,21135,145300,630,24534,24430,532900,909,2015,2005,1993
187,36005025600,40.8443911,-73.850219,10461.0,1497,51592,44044,198700,516,38214,34712,206400,712,80833,42188,445200,1092,342,469,435
188,36005025700,40.8601938,-73.9144391,10468.0,3109,23519,20678,44694,496,23905,22700,70233,639,41164,32941,172200,999,1020,967,616
189,36005026100,40.86665,-73.9058809,10468.0,2306,56754,40982,0,519,62031,55438,75000,801,59423,58100,139100,1091,472,251,176
190,36005026300,40.8647888,-73.9044333,10468.0,6906,18304,16053,122500,496,24479,26343,197600,680,23272,21339,0,954,1987,2217,1992
191,36005026400,40.841780799999995,-73.83207809999999,10461.0,4286,42963,36010,166500,520,61500,49099,190000,727,73533,56146,429200,1189,965,1149,1236
192,36005026500,40.866188,-73.90024770000001,10468.0,6151,19859,20284,161319,468,21732,21775,254389,649,28108,23968,554500,938,1800,1825,1928
193,36005026601,40.84744439999999,-73.83413940000001,10461.0,3056,36011,24079,191300,500,44712,31480,184500,634,67596,54028,424600,1070,1073,1087,1141
194,36005026602,40.845992100000004,-73.8306465,10461.0,5162,37762,25901,181400,447,47740,35248,205400,648,53849,43083,436100,1036,1944,1994,2020
195,36005026701,40.8693417,-73.9011885,10468.0,2827,28775,26116,189800,491,26176,27379,206100,700,26100,25936,0,1056,1018,1081,1311
196,36005026702,40.87226029999999,-73.9001321,10468.0,6559,28775,26116,189800,491,26176,27379,206100,700,37597,31901,437000,969,2363,2509,2228
197,36005026900,40.865039,-73.9094977,10468.0,3784,24247,23144,205859,458,29527,31895,178018,613,34489,35083,153800,978,1193,1258,1155
198,36005027300,40.8739329,-73.90328459999999,10463.0,7559,21986,21114,141000,471,27069,27819,143600,636,43000,40633,198200,971,2207,2246,2215
199,36005027401,40.8404245,-73.8226412,10465.0,2823,47225,40298,206900,609,60417,49712,234400,857,80404,66500,518800,1508,332,450,707
