,census_tract,lat,lon,ZCTA5,pop9,median_fam_inc_9,median_hh_inc_9,median_house_value_9,median_rent_9,median_fam_inc_0,median_hh_inc_0,median_house_value_0,median_rent_0,median_fam_inc_1,median_hh_inc_1,median_house_value_1,median_rent_1,rent_units_9,rent_units_0,rent_units_1
1770,36081056800,40.7155717,-73.7335697,11429.0,4376,46280,43271,167800,622,53750,48400,179600,810,63846,62354,427500,1124,593,743,691
1771,36081057700,40.70039620000001,-73.890718,11385.0,3074,38333,31429,187500,516,45846,38185,217400,720,46208,46708,551400,1124,941,971,965
1772,36081057900,40.7034917,-73.8900443,11385.0,1327,31250,26875,162500,451,48073,32625,222900,734,31875,23800,490200,1049,471,470,504
1773,36081058000,40.70712520000001,-73.7303611,11429.0,3978,56718,53916,163629,745,56511,55628,184435,779,87138,83510,441000,1256,189,307,262
1774,36081058100,40.70395739999999,-73.89380820000001,11385.0,2265,40233,32299,188600,524,37727,35909,213200,700,51818,48370,552300,1091,682,711,722
1775,36081058200,40.706989,-73.7375538,11429.0,4413,50554,48617,155156,746,54771,49088,175805,828,62402,63464,423100,972,228,342,417
1776,36081058300,40.701938,-73.8976203,11385.0,2832,33138,27762,217600,568,44063,39783,275000,740,69107,53523,621300,1174,834,850,863
1777,36081058500,40.704371,-73.8994203,11385.0,3383,33375,30130,207100,513,36953,35268,187500,759,51333,49792,609000,1140,949,1062,1086
1778,36081058700,40.7071439,-73.9002784,11385.0,2805,32139,26875,165000,495,40000,35589,350000,697,47202,45287,533700,1115,977,1039,1007
1779,36081058900,40.7062404,-73.9050398,11385.0,3642,32333,27827,0,474,31554,30078,162500,697,43188,46189,591400,1180,1400,1419,1377
1780,36081059000,40.701257700000006,-73.7369979,11411.0,1260,58366,50954,161300,0,67917,65192,176600,795,73684,73158,439800,1315,0,68,55
1781,36081059100,40.7081118,-73.9097807,11385.0,4150,31492,25727,204500,502,36620,34544,211700,738,51098,43300,584300,1164,1315,1430,1663
1782,36081059200,40.7009872,-73.7290074,11003.0,968,61330,56131,164100,1001,53984,53672,185000,772,86971,85577,449100,985,16,42,55
1783,36081059300,40.710208,-73.90265079999999,11385.0,3271,39611,33203,177200,547,41231,35547,200000,732,58924,51964,587000,1163,996,1024,1025
1784,36081059400,40.6984691,-73.7311844,11411.0,1663,57267,49654,158200,1001,70208,68833,184000,1208,100000,85758,410400,2001,23,61,63
1785,36081059500,40.7137599,-73.90832409999999,11385.0,3634,35286,26581,183100,547,37200,35828,170600,731,60270,55806,530900,1244,947,1057,1086
1786,36081059600,40.6971372,-73.7370565,11411.0,1652,65683,64956,166100,798,66944,65469,188100,746,88618,87143,380700,896,47,59,66
1787,36081059800,40.698294700000005,-73.7406666,11411.0,1842,44250,39464,159100,695,54864,54484,169300,753,77639,67763,385500,1063,105,149,154
1788,36081059900,40.7172449,-73.902132,11378.0,1434,46603,33750,183600,584,58456,50391,185700,840,83281,71932,529200,1351,239,235,243
1789,36081060000,40.695063,-73.7333032,11411.0,1132,56244,55460,155600,897,68000,65000,186500,739,72738,62250,354000,1010,34,41,32
1790,36081060100,40.715213500000004,-73.9024125,11378.0,1604,37619,32989,222600,626,55774,47188,217500,841,57174,55435,405600,1115,377,413,460
1791,36081060300,40.713921899999995,-73.8990012,11379.0,1469,42895,31875,193200,559,59653,50847,199300,820,51528,48445,617500,1253,284,341,317
1792,36081060600,40.6917471,-73.7353308,11411.0,1514,52912,53984,165200,548,69545,59875,185100,1067,80435,76146,433100,977,55,71,105
1793,36081060701,40.717257200000006,-73.8939704,11379.0,837,44375,31641,215000,667,67188,52321,240900,908,0,0,0,0,109,105,4
1794,36081060800,40.693603700000004,-73.7413143,11411.0,1550,48548,47702,176100,729,74000,66964,183700,759,93125,92328,461100,1297,82,120,89
1795,36081061000,40.6901773,-73.7432572,11411.0,1133,61529,54004,162520,574,79297,73596,184037,1282,86481,67321,458000,1496,50,83,63
1796,36081061200,40.6882912,-73.73672540000001,11411.0,1699,49340,41989,166040,993,82321,76325,191952,725,107454,110492,438900,1059,25,57,36
1797,36081061301,40.708958700000004,-73.893182,11385.0,2760,35137,29980,236100,521,51169,42722,218500,785,64196,60426,614300,1097,785,797,1402
1798,36081061302,40.7093221,-73.8835282,11379.0,1942,35404,30085,233848,522,51379,42965,216716,784,0,0,0,0,548,554,5
1799,36081061400,40.686113299999995,-73.72950329999999,11411.0,1192,64487,60605,182100,875,63571,63482,188300,863,109375,108438,449100,1426,16,34,54
1800,36081061601,40.6818804,-73.7318865,11422.0,2238,61716,58399,161971,538,72275,71100,193734,626,98062,97666,427700,950,38,69,73
1801,36081061602,40.677561100000005,-73.72926149999999,11422.0,1174,60126,60890,170500,1001,68558,56310,192200,825,87727,78500,436000,1733,20,117,37
1802,36081061800,40.6768927,-73.736406,11413.0,1416,49432,42292,169900,432,70750,55375,192600,746,79323,56118,262500,823,214,168,137
1803,36081061900,40.7097834,-73.8770926,11379.0,2840,42014,34989,206211,592,51180,42936,187891,714,78295,53631,590100,1173,666,648,699
1804,36081062000,40.6810535,-73.7378078,11413.0,1605,59927,61784,176659,993,68376,59736,189472,937,91484,84609,444800,1433,12,47,44
1805,36081062100,40.7099551,-73.8726291,11379.0,2579,40370,35069,178407,610,54910,46020,197303,847,61351,52331,560500,1257,605,605,612
1806,36081062200,40.691945700000005,-73.7288713,11411.0,2222,59730,60116,173746,854,61785,56622,192038,749,86250,79583,434500,1206,55,85,84
1807,36081062300,40.7043799,-73.8781855,11385.0,1536,45577,32304,187000,544,55820,45845,189200,772,67460,52992,574200,1130,394,394,455
1808,36081062400,40.6857947,-73.74203359999998,11413.0,546,50611,40625,158500,0,73889,65885,185900,733,0,0,0,0,0,32,0
1809,36081062500,40.704132,-73.8824139,11385.0,2235,41319,32093,190900,535,56034,47600,182700,755,80363,60750,584400,1167,502,460,488
1810,36081062600,40.6819819,-73.7481273,11413.0,2646,43403,41444,152857,683,63141,54527,175605,868,85156,81550,390900,1198,128,152,169
1811,36081062700,40.7037717,-73.8864539,11385.0,2476,36519,33106,185500,536,53250,42292,186900,726,57750,56071,475400,1299,605,594,630
1812,36081062900,40.700965999999994,-73.8831162,11385.0,2488,45192,31861,221400,489,42813,36563,179200,735,54788,44682,486900,1138,712,731,747
1813,36081063000,40.680293400000004,-73.7435717,11413.0,1560,54387,52246,156424,804,65444,65010,179671,1041,86250,85078,372900,747,21,94,54
1814,36081063200,40.676519,-73.7405119,11413.0,2322,56580,53077,163700,750,62250,60150,188400,885,95958,96958,417200,1000,54,154,122
1815,36081063301,40.7044802,-73.8745728,11385.0,1232,38625,34635,184900,580,51118,47500,200000,719,71042,71354,498500,1232,274,270,257
1816,36081063302,40.7053328,-73.871404,11385.0,1321,47547,35764,192931,557,49957,46234,193761,811,85769,67933,488500,1302,231,214,233
