,tract,entropy_index_9,entropy_index_0,entropy_index_1,inc_9,rent_9,inc_0,rent_0,inc_1,rent_1,r_units_9,r_units_0,r_units_1,ratio_rent_inc_9,ratio_rent_inc_0,ratio_rent_inc_1,entropy_9_0,rent_9_0,inc_9_0,rent_units_9_0,rent_burden_9_0,entropy_0_1,rent_0_1,inc_0_1,rent_units_0_1,rent_burden_0_1,rich_9,rich_0,rich_1,rich_all
0,36005000200,0.8536922727921024,0.8461203219081697,0.906282730609275,0.23249334491938042,0.6879518072289157,0.21526711132619353,0.296234772978959,0.20635387374254013,0.5887005649717514,0.04225508729011453,0.046338994488808904,0.0730997696690508,0.19834853377446593,0.23314052002887392,0.17472502442798182,0.2102714998924476,0.09163938690565226,0.0786593101980279,0.09107989781966452,0.26574104529896236,0.3646687126388965,0.3316413316121902,0.23391611734406859,0.013994207058253046,0.3216084078768226,2.0,2.0,2.0,2.0
1,36005000400,0.9204982117374533,0.9280154973220436,0.9326276832136351,0.24472076247224175,0.43855421686746987,0.16372798619731943,0.24806201550387597,0.26756509386686766,0.6209039548022599,0.023351495607694873,0.05364975818243167,0.07067523336161959,0.11102648500961779,0.26249010381146803,0.14005967369147046,0.21515059386259808,0.147213469600453,0.042690652069871625,0.22513331168613357,0.4844062035799558,0.34091885977666153,0.4075980804209704,0.39223504579013324,0.011502471774449605,0.22947024470201677,2.0,3.0,2.0,2.0
2,36005001600,0.9055870080916576,0.9312448191020519,0.8350682059617709,0.13608777809961242,0.35542168674698793,0.10631325351905233,0.2009966777408638,0.10359108585722628,0.3344632768361582,0.16212609807628156,0.16960971769204813,0.1921445023639229,0.19357075377695454,0.326548971035545,0.20068882258325435,0.22052757161209238,0.14608072272288583,0.06718835017484122,0.08437713878761172,0.38304616446910034,0.30028499566098044,0.26871130404725363,0.2254458693953358,0.00945566084319001,0.2714635756849569,4.0,4.0,4.0,4.0
3,36005001900,0.5818877856263299,0.8112538014810754,0.604311037945459,0.1367153556502669,0.3024096385542169,0.07247459338902097,0.14728682170542637,0.07018582864999855,0.3610169491525424,0.039252752140553765,0.036778765043302214,0.05734028367074797,0.16655485327118225,0.3475929408451883,0.29247924500576067,0.30610138306252205,0.11931650831358577,0.03553040654774323,0.07337106779132777,0.4640729795406325,0.24512828636728276,0.36518981673597667,0.21600851171822777,0.013939450877234189,0.3818697505649188,4.0,4.0,4.0,4.0
4,36005002000,0.7872625819698392,0.7480264304443378,0.7639625857146163,0.0949159321940387,0.1530120481927711,0.05155490563258779,0.039313399778516056,0.09225168662174531,0.12655367231638417,0.285333036806405,0.291530761444157,0.3134925445508546,0.15016604523407484,0.213909519551597,0.10739959577004687,0.19925489125927814,0.06839192871405993,0.047069130582957086,0.08146053149221984,0.3162703311555112,0.34530825710386837,0.3238467663011927,0.33773586024312746,0.008846440612555706,0.21230065639516105,4.0,4.0,4.0,4.0
5,36005002300,0.668791640854912,0.7031179218163948,0.6304046790375847,0.07027489276009986,0.018072289156626505,0.054305973446672415,0.018826135105204873,0.04886958034283253,0.07231638418079096,0.19504058712331815,0.18411877179169947,0.20984361740817067,0.09680586404608388,0.165092862778244,0.1349557879327768,0.22447206619069945,0.1546848786640976,0.08085713557428215,0.07281356681330899,0.35362595525978335,0.3007495238046189,0.2904212260379265,0.19839257075057293,0.009508616381139612,0.33184602333324803,4.0,4.0,4.0,4.0
6,36005002500,0.49426862211600964,0.6020426708835774,0.49832107522226804,0.03315816333567813,0.12650602409638553,0.030345908641403834,0.08028792912513842,0.03522751274543504,0.19152542372881357,0.1856999888802402,0.18738049713193117,0.21190447326948722,0.3300154005593358,0.3976131514239656,0.2858151998912561,0.2601147018481903,0.15486361517938502,0.11280046902134522,0.08015216238238496,0.2767108945034508,0.2777264737134065,0.3158775328599767,0.21892494995463338,0.009422493189687237,0.3272488857898659,4.0,4.0,4.0,4.0
7,36005002701,0.5785443855208043,0.6301670572963508,0.5226836385798028,0.035240893229058906,0.02530120481927711,0.01674837460811749,0.03820598006644518,0.0692747008808949,0.17401129943502824,0.10007783831869231,0.10988640197952987,0.12207540307916111,0.19578572514180026,0.3635581396831394,0.17014373960378856,0.23240163697371669,0.19134075900762978,0.07636222987387102,0.09043555501010016,0.42268892034615446,0.2779290871297035,0.4013354869208951,0.429415836958568,0.00933083842227191,0.20290307734465213,4.0,4.0,4.0,4.0
8,36005002702,0.2642831559774422,0.48041456878234434,0.4058033120798456,0.010627439621522461,0.13614457831325302,0.011304100826898394,0.07585825027685493,0.05217448925076307,0.20395480225988702,0.1267652618703436,0.1372174108649196,0.14341132258455572,0.5541951239101666,0.5288982727323099,0.2339141490613501,0.3520929963701509,0.13883942505765298,0.14213403656947007,0.08856316303761186,0.20838255345467702,0.2851340380747974,0.34083703233988594,0.3853131786896396,0.008662523131164095,0.19239705056181816,4.0,4.0,4.0,4.0
9,36005002800,0.9575896795182832,0.9851594973062908,0.9719603178637154,0.2142108384711935,0.3036144578313253,0.1502040945146969,0.21650055370985605,0.1962237895460513,0.34915254237288135,0.24785944623596132,0.24755370599482623,0.24924233240392774,0.08924727549402443,0.2527628913735386,0.11138716891359579,0.22095835733045885,0.19397691133564282,0.04905640117013031,0.0789085526450955,0.5410354820938148,0.3343183008911348,0.2626026015151304,0.31022000788983156,0.008213050680497203,0.18734909673571876,3.0,3.0,3.0,3.0
