,tract,entropy_index_9,entropy_index_0,entropy_index_1,inc_9,rent_9,inc_0,rent_0,inc_1,rent_1,r_units_9,r_units_0,r_units_1,ratio_rent_inc_9,ratio_rent_inc_0,ratio_rent_inc_1,entropy_9_0,rent_9_0,inc_9_0,rent_units_9_0,rent_burden_9_0,entropy_0_1,rent_0_1,inc_0_1,rent_units_0_1,rent_burden_0_1
1944,36081140902,0.8090384393558805,0.7026540695560038,0.830670302550073,0.30383718845257307,0.8349397590361446,0.2937856376375534,0.5221483942414175,0.33513764241548255,0.8734463276836159,0.020682753252529745,0.02541896299628838,0.016608073705903746,0.17553503007186907,0.29908554645841084,0.15611788234251225,0.17777265910359158,0.17659085907708072,0.08195639909328031,0.10711233732939425,0.3825714442890826,0.40153799823759256,0.28897643617584,0.286849152184613,0.0058981200018589615,0.22628012563296754
1945,36081141700,0.8390901611175923,0.7035659645199946,0.8633336683808335,0.29006496462117765,0.5783132530120482,0.2986775937887937,0.3831672203765227,0.34124219846847703,0.6790960451977401,0.03291448904703658,0.03621639860533123,0.03200387925809189,0.12010111806129006,0.2093602321354099,0.11689268333385326,0.1696564673259015,0.18815967459864505,0.09115949093951015,0.09187635813169909,0.3719959259523733,0.41741501808709575,0.30162365591015805,0.2876290708569943,0.007694593062492715,0.23579284399115005
1946,36081142900,0.7385492574937943,0.6071751995635082,0.910116941993512,0.3235679507868857,0.655421686746988,0.3237212531824016,0.49169435215946844,0.31160983852331037,0.6401129943502825,0.022906705215167352,0.03542908559217186,0.03551945690386714,0.11919576951039902,0.25095474804323786,0.12188250372260998,0.16618248028346547,0.22694351047076095,0.08625127001608163,0.1420346774840512,0.44166771312043135,0.5056935584025518,0.21829573103392286,0.2399688126195643,0.00881105169805642,0.2073405370262701
1947,36081143500,0.703781206145125,0.7089002649072893,0.7615764970487807,0.3255886125708611,0.810843373493976,0.3075041555326446,0.39811738648947953,0.3456943000675063,0.6706214689265537,0.016346046925386413,0.015746260263187494,0.011516547460298218,0.154307532130467,0.21089268145791362,0.11357555665831963,0.21366376105391272,0.11690060053349202,0.07823260879091498,0.07857247150015353,0.3046629906681933,0.36358612680996355,0.2866155285881077,0.2831998881576319,0.00726462738728554,0.22755954482969118
1948,36081144100,0.7175194013538548,0.6786435687092389,0.8336781108006265,0.3279747865546682,0.4566265060240964,0.323668651503356,0.34108527131782945,0.29306838842205096,0.6124293785310735,0.043144668075169576,0.051400292430547743,0.0386713541035277,0.07068403489463759,0.16570805195199398,0.12476069939638611,0.19803650793920988,0.21671273232816407,0.08421937701710934,0.10162699257010711,0.43374174244013264,0.41692042818095215,0.30300357167422576,0.22437414157525906,0.006247645643978933,0.30671685917027497
1949,36081144700,0.9124729385206934,0.916405047557551,0.9456835236689866,0.2594446973145198,0.6939759036144578,0.18455299093147054,0.45957918050941304,0.21361804695621203,0.7180790960451977,0.03947514733681753,0.0404903835339107,0.04582373621044975,0.1742861976398342,0.421809813057933,0.20504293642504173,0.2140685295224619,0.19061570368574254,0.047750768147334186,0.0832628118776381,0.5414807502472081,0.35093906117104395,0.2664778274003982,0.28083861276940536,0.00991928349421832,0.21310398805647515
1950,36081145101,0.7379027092426901,0.7166519188829514,0.9335796885154467,0.3166163225334823,0.672289156626506,0.31946051717970836,0.44573643410852715,0.2422895812539603,0.7649717514124293,0.011008562215056155,0.013271847936115173,0.01236513516789914,0.12723011333121328,0.2285270799561828,0.1922216066070462,0.2046015733937156,0.19051039427079888,0.08761226233816222,0.10667498543938218,0.38557633230415067,0.44471704758625485,0.29447289631263796,0.18420571601835106,0.009344847935532825,0.3605372940115808
1951,36081145102,0.8289536201846888,0.7391313348935243,0.8659775282784127,0.2912994303526848,0.6783132530120481,0.26668525259326276,0.4097452934662237,0.2961082419789695,1.0,0.021905926831980428,0.03205488696434597,0.026184992120257,0.14510751851553,0.25701204877379547,0.20520982800129597,0.18380873090294542,0.16555777316717799,0.07505280604274411,0.1328856365194075,0.3877277058651097,0.39890095597315417,0.4243710720972916,0.27691444015393807,0.007174228876086688,0.34780225818469723
1952,36081145900,0.5803879116027459,0.7028615725334644,0.8358122725591012,0.38455331650597924,0.7421686746987952,0.31551539125128875,0.3698781838316722,0.34221544858547415,0.5338983050847458,0.01890359168241966,0.028455741761331685,0.029094435689174445,0.10717575722423694,0.18801734620911023,0.0895677864053768,0.26182371497210655,0.12037481099107918,0.059119216955881085,0.13779969404413206,0.36791479818984996,0.4040034142668078,0.24245069658207527,0.27288211819163616,0.009170955110157851,0.1997605060098843
1953,36081146300,0.8643782021573351,0.8833818517377444,0.9821726151576914,0.28438228438228436,0.4710843373493976,0.20780819323752814,0.42857142857142855,0.2456856029388012,0.5932203389830508,0.06894251084176582,0.07659430885164774,0.07564553279185356,0.09547957690813652,0.350739226061269,0.14668578160906243,0.21856745983196038,0.2803440697629286,0.0493218067474959,0.09215434198343103,0.6984803719289943,0.3803108718563931,0.23292505749459208,0.29009691825825096,0.00827386903114664,0.17865179520314878
1954,36081146700,0.8973862410099485,0.8070477043036255,0.9735652915598171,0.2554861312257762,0.41445783132530123,0.25699602331306415,0.31450719822812845,0.2652251520962151,0.5649717514124294,0.09129322806627377,0.10864919581599371,0.11868105224875743,0.09685100155739132,0.20227582107451764,0.1283781530721413,0.1856916235876172,0.21849890485256926,0.08881714872721774,0.10083302443582738,0.42136839442172414,0.41338672122335557,0.30111123548584706,0.25558392593145746,0.009158183996054208,0.2670069587021322
1955,36081147100,0.7720478518672017,0.7416563738766077,0.8510334499451864,0.3169749382767134,0.5891566265060241,0.31617291223935867,0.46124031007751937,0.28127342530201815,0.7892655367231638,0.055932391860335814,0.050500506129794176,0.05867377863983513,0.10715345711009065,0.2403176627246778,0.16978301666428167,0.2019616360806651,0.23787535238851834,0.08596944094633933,0.06905467171299441,0.4582428788959415,0.39034374023490465,0.2941587641836949,0.21986354429585075,0.01007857021027303,0.3040351978284286
